PIN,Property_Address,Tax_Year,Property_Class,Census_Tract,Type_of_Residence,Rooms,Bedrooms,Basement,Fireplaces,Central_Air,Full_Baths,Half_Baths,Building_Square_Feet,Land_Square_Feet,Age,Longitude,Latitude,Walkscore,Walkfac,Sale_Price
12162100000000,9854  MONTROSE AVE SCHILLER PARK,2018,202,770800.0,1.0,5.0,3.0,1.0,0.0,2.0,1.0,0.0,968.0,5500.0,56.0,-87.87324806,41.95858602,52.0,Somewhat Walkable,183000
19252140320000,7236 S ARTESIAN,2007,202,661000.0,1-story,4.0,2.0,Full basement,1.0,No,1.0,0.0,780.0,3150.0,86.0,-87.6848954,41.7617625,64.0,Somewhat Walkable,185000
25284160070000,31 E 124TH ST,2013,203,530600.0,1-story,6.0,3.0,Full basement,0.0,No,1.0,0.0,1248.0,3150.0,84.0,-87.6210483,41.66871879999999,26.0,Car-Dependent,80000
9231160000000,8416 W ROSEVIEW DR NILES,2018,234,805902.0,4.0,6.0,3.0,3.0,0.0,2.0,1.0,0.0,1313.0,6800.0,56.0,-87.83628465,42.03718585,59.0,Somewhat Walkable,150000
12284200000000,2643  REUTER AVE FRANKLIN PARK,2018,205,811402.0,2.0,7.0,4.0,3.0,0.0,1.0,2.0,0.0,1808.0,6075.0,66.0,-87.86910088,41.92734729,73.0,Very Walkable,212000
17092590221228,875 E 22ND ST 402,2008,299,81700.0,,,,,,,,,,,,-87.9940398,41.8455682,47.0,Car-Dependent,180000
14292070541002,1210 BRENTWOOD PL,2006,299,62900.0,,,,,,,,,,,,-88.1377172,41.544851,24.0,Car-Dependent,431500
24162230420000,10528 S LAVERGNE AE,2006,207,822602.0,2-story,6.0,4.0,Full basement,0.0,No,2.0,1.0,1968.0,7370.0,45.0,-87.7452495,41.7007465,67.0,Somewhat Walkable,275000
6204060000000,954  OAK RIDGE BLVD ELGIN,2018,295,804507.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,1593.0,2945.0,9.0,-88.228447,42.01870576,3.0,Car-Dependent,204900
12124070170000,7521 WINONA ST,2013,203,770901.0,1-story,6.0,3.0,Full basement,0.0,Yes,1.0,0.0,1104.0,3720.0,46.0,-87.81557609999999,41.973183,58.0,Somewhat Walkable,199900
14194220451001,1733 W ROSCOE 1E,2009,299,62500.0,,,,,,,,,,,,-87.67254100000001,41.943031,94.0,Walker's Paradise,488400
18053150290000,219-45TH ST,2013,278,819801.0,2-story,8.0,4.0,Full basement,1.0,Yes,2.0,1.0,2277.0,6850.0,41.0,-87.8921559,41.807986799999995,69.0,Somewhat Walkable,495000
28223030110000,16428 GEORGE DR,2006,234,825200.0,multilevel,6.0,3.0,Partial basement,0.0,Yes,2.0,1.0,1285.0,5564.0,37.0,-87.731125,41.593047999999996,14.0,Car-Dependent,199900
23274170030000,8823 W 126TH ST,2015,203,823901.0,1-story,7.0,4.0,Partial basement,1.0,Yes,1.0,1.0,1308.0,67659.0,65.0,-87.83715090000001,41.6610638,16.0,Car-Dependent,285000
17061270250000,2034 W CRYSTAL,2003,203,241400.0,1-story,6.0,3.0,Full basement,0.0,No,1.0,0.0,1230.0,2875.0,113.0,-87.6787152,41.9042716,94.0,Walker's Paradise,514000
14324000871007,1967 N MAUD AVE A,2008,299,832600.0,,,,,,,,,,,,-87.656851,41.917425,93.0,Walker's Paradise,575000
14293130220000,1438 W ALTGELD ST,2014,278,70600.0,2-story,8.0,4.0,Full basement,1.0,Yes,2.0,1.0,2792.0,3000.0,16.0,-87.66493,41.927271999999995,83.0,Very Walkable,989000
9202050000000,905  CENTER ST DES PLAINES,2018,299,806202.0,,,,,,,1.0,,,77598.0,10.0,-87.88919415,42.0367384,79.0,Very Walkable,180000
10272200000000,7710  KEDVALE AVE SKOKIE,2018,203,807600.0,1.0,6.0,3.0,1.0,0.0,1.0,2.0,0.0,1288.0,4920.0,60.0,-87.73230295,42.02121169,50.0,Car-Dependent,227000
4112010000000,800  MIDWAY RD NORTHBROOK,2018,299,801800.0,,,,,,,1.0,,,17586.0,10.0,-87.79708734,42.13766079999999,50.0,Car-Dependent,280000
5343140000000,2519  PARK PL EVANSTON,2018,206,808900.0,2.0,9.0,5.0,1.0,2.0,1.0,2.0,1.0,2774.0,7500.0,106.0,-87.70878736,42.06710154,71.0,Very Walkable,1100000
25124160710000,10126 S CRANDON,2009,204,510300.0,?,8.0,4.0,Partial basement,0.0,No,2.0,0.0,1977.0,5208.0,71.0,-87.5672191,41.710817799999994,40.0,Car-Dependent,152000
31274110200000,4141 GREENBRIER LN,2003,234,830007.0,multilevel,6.0,3.0,Partial basement,0.0,No,1.0,1.0,1106.0,7076.0,38.0,-87.7175887,41.484629999999996,61.0,Somewhat Walkable,122500
10112000000000,2710  CENTRAL ST EVANSTON,2018,299,809000.0,,,,,,,1.0,,,8400.0,10.0,-87.71124827,42.06409227,77.0,Very Walkable,152500
10342300000000,6815  KEDVALE AVE LINCOLNWOOD,2018,234,808001.0,4.0,6.0,3.0,3.0,0.0,1.0,1.0,1.0,1396.0,5265.0,58.0,-87.7320284,42.0050426,66.0,Somewhat Walkable,148000
17042080291025,1530 N DEARBORN PK 14S,2014,299,80201.0,,,,,,,,,,,,-87.6303666,41.9103056,96.0,Walker's Paradise,640500
16173110200000,1019 S LOMBARD AVE,2014,205,813100.0,2-story,8.0,4.0,Full basement,0.0,No,2.0,0.0,1316.0,3125.0,83.0,-87.77950390000001,41.8701266,73.0,Very Walkable,335000
18023120201016,9136 WASHINGTON AV,2006,299,819200.0,,,,,,,,,,,,-87.8506399,41.8278126,77.0,Very Walkable,89000
7144030000000,403  VERDE DR SCHAUMBURG,2018,299,804609.0,,,,,,,1.0,,,130272.0,10.0,-88.0547509,42.036784000000004,42.0,Car-Dependent,105000
12251200000000,7837 W ELMGROVE DR ELMWOOD PARK,2018,204,810800.0,1.0,5.0,3.0,1.0,0.0,2.0,1.0,0.0,1110.0,3619.0,88.0,-87.82293627,41.93280783,60.0,Somewhat Walkable,399900
13251140200000,3014 N ALBANY,2006,202,210700.0,?,5.0,3.0,Full basement,0.0,No,1.0,0.0,930.0,3150.0,124.0,-87.7053976,41.9361549,87.0,Very Walkable,315000
14281070861007,715 W BARRY AVE 7A,2006,299,63100.0,,,,,,,,,,,,-87.64744,41.937529999999995,97.0,Walker's Paradise,285000
14173080060000,8527 N KARLOV AV,2004,211,60100.0,2-story,12.0,6.0,Full basement,0.0,No,3.0,0.0,3314.0,3775.0,103.0,-87.73042609999999,41.9719037,84.0,Very Walkable,395000
10281200000000,5428  BRUMMEL ST SKOKIE,2018,203,807700.0,1.0,6.0,3.0,1.0,0.0,1.0,2.0,0.0,1322.0,4960.0,61.0,-87.76341127,42.02122489,54.0,Somewhat Walkable,325000
6081110000000,1900  MAUREEN DR HOFFMAN ESTATES,2018,299,804311.0,,,,,,,1.0,,,1640136.0,10.0,-88.2401561,42.05699964,6.0,Car-Dependent,200000
13362280461057,2740 W ARMITAGE 202S,2015,299,221400.0,,,,,,,,,,,,-87.6964375,41.917741,94.0,Walker's Paradise,330000
18172030090000,5840 SUNSET,2006,203,820104.0,1-story,7.0,3.0,crawlspace,0.0,No,1.0,0.0,1420.0,16665.0,62.0,-87.8827036,41.7833549,39.0,Car-Dependent,356000
27242050060000,7519 160TH PLACE,2011,203,824123.0,1-story,6.0,3.0,Full basement,0.0,Yes,1.0,1.0,1044.0,7687.0,36.0,-87.802441,41.598982899999996,62.0,Somewhat Walkable,210000
20081220430000,1316 W 50TH ST,2005,203,611100.0,1-story,4.0,2.0,Slab basement,0.0,No,1.0,0.0,1020.0,3125.0,45.0,-87.6582479,41.803393799999995,78.0,Very Walkable,99000
24164220600000,11006 S DEBLIN LN,2008,295,822602.0,2-story,5.0,2.0,Full basement,0.0,Yes,1.0,1.0,1641.0,1425.0,14.0,-87.7490376,41.6922427,50.0,Somewhat Walkable,225000
7072030000000,1990  OXFORD LN HOFFMAN ESTATES,2018,295,804701.0,1.0,6.0,3.0,3.0,0.0,1.0,1.0,1.0,1252.0,1120.0,43.0,-88.13072132,42.06158634,42.0,Car-Dependent,166000
20114180111042,5317 S HARPER 3,2009,299,410800.0,,,,,,,,,,,,-87.588392,41.7990126,94.0,Walker's Paradise,233500
28172070130000,15233 CHAUCER DR,2004,203,824505.0,1-story,6.0,3.0,Full basement,0.0,Yes,1.0,1.0,1394.0,6820.0,45.0,-87.757228,41.6145759,35.0,Car-Dependent,242000
24032070580000,4048 W 90TH PL,2003,295,822000.0,1-story,4.0,2.0,Slab basement,0.0,No,1.0,0.0,744.0,4000.0,61.0,-87.7236686,41.728516799999994,52.0,Somewhat Walkable,112000
9353070000000,732 S DELPHIA AVE PARK RIDGE,2018,205,805701.0,2.0,7.0,4.0,1.0,2.0,1.0,2.0,1.0,1730.0,6622.0,73.0,-87.84236167,42.00145522,40.0,Car-Dependent,300000
4242000000000,536  HAPP RD NORTHFIELD,2018,205,801800.0,2.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1622.0,18122.0,73.0,-87.77731772,42.10595327,47.0,Car-Dependent,395000
12322100000000,448  ARMITAGE AVE NORTHLAKE,2018,203,811301.0,1.0,6.0,3.0,3.0,0.0,2.0,1.0,0.0,1266.0,11040.0,58.0,-87.88603925,41.91503448,60.0,Somewhat Walkable,58000
9272100000000,819  MARVIN PKWY PARK RIDGE,2018,205,805501.0,2.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1629.0,7100.0,85.0,-87.84791113,42.02095299,58.0,Somewhat Walkable,405000
9133250000000,8821  OTTAWA AVE MORTON GROVE,2018,203,805301.0,1.0,5.0,3.0,3.0,0.0,2.0,1.0,1.0,1127.0,6250.0,50.0,-87.81732891,42.0414491,62.0,Somewhat Walkable,221250
14192120441144,5206 N. SHRIDAN RD,2012,299,50600.0,,,,,,,,,,,,-87.6552052,41.9766415,91.0,Walker's Paradise,379500
31361140510000,14609 S UNION,2005,203,830300.0,1-story,7.0,3.0,Slab basement,0.0,Yes,1.0,1.0,1524.0,8246.0,57.0,-87.63885040000001,41.6584025,37.0,Car-Dependent,124000
17042200961044,1255 N ORLEANS 1104,2015,299,80300.0,,,,,,,,,,,,-87.63735940000001,41.9051447,96.0,Walker's Paradise,237500
2352000000000,3703  RYWICK DR ROLLING MEADOWS,2018,202,804000.0,1.0,6.0,2.0,3.0,0.0,1.0,2.0,0.0,940.0,3064.0,28.0,-88.02793014,42.07989262,46.0,Car-Dependent,234500
19152000370000,5534 S KOLIN AV,2003,203,620300.0,1-story,6.0,4.0,Full basement,0.0,Yes,1.0,0.0,1050.0,3150.0,88.0,-87.7319968,41.7920515,69.0,Somewhat Walkable,246000
17172060151002,950 WEST MONROE,2006,299,,,,,,,,,,,,,-87.651602,41.8805255,97.0,Walker's Paradise,286000
20032220130000,427 E 42ND PL,2006,211,380200.0,2-story,11.0,7.0,Full basement,0.0,No,2.0,0.0,2406.0,3075.0,118.0,-87.61543,41.817288,75.0,Very Walkable,494000
19321160120000,6801 WEST 63RD PL,2003,203,821002.0,1-story,6.0,3.0,Full basement,0.0,Yes,1.0,1.0,1286.0,6111.0,46.0,-87.79114679999999,41.7763864,60.0,Somewhat Walkable,237000
12253100000000,2734 N 76TH AVE ELMWOOD PARK,2018,205,810800.0,2.0,4.0,2.0,1.0,0.0,2.0,1.0,0.0,1560.0,3810.0,85.0,-87.81659916,41.93013501,75.0,Very Walkable,392500
14213070571055,525 HAWTHORNE PLACE,2004,299,61902.0,,,,,,,,,,,,-87.6422208,41.9445186,89.0,Very Walkable,220000
13191300010000,P O BOX 1312,2011,203,170300.0,1-story,5.0,3.0,Full basement,0.0,No,1.0,0.0,1059.0,3810.0,52.0,-87.8406192,42.011141200000004,82.0,Very Walkable,180000
28253150320000,2810 W 173RD,2006,278,825503.0,2-story,7.0,5.0,Slab basement,1.0,No,2.0,1.0,2219.0,9975.0,55.0,-87.6858678,41.575576299999994,47.0,Car-Dependent,205000
9273060000000,33  PARK LN PARK RIDGE,2018,299,805801.0,,,,,,,1.0,,,78034.0,10.0,-87.85900082,42.01347982,11.0,Car-Dependent,695000
13114210271004,4942 N SPAULDING AVE,2005,299,140200.0,,,,,,,,,,,,-87.71141800000001,41.9715528,91.0,Walker's Paradise,268900
30204080390000,1504 KENILWORTH DR,2004,207,826202.0,2-story,6.0,3.0,Partial basement,0.0,Yes,1.0,1.0,1360.0,5747.0,63.0,-87.5289022,41.5898614,32.0,Car-Dependent,85000
9362060120000,7321 W FITCH AVE,2006,202,90200.0,,,,,,,,,,,,-87.8099688,42.0105186,66.0,Somewhat Walkable,365905
12121020240000,7730 W GREGORY ST,2004,203,100500.0,1-story,6.0,4.0,Full basement,0.0,No,2.0,0.0,1450.0,4960.0,16.0,-87.8206056,41.98073660000001,36.0,Car-Dependent,386000
11312020311017,1728 W ESTES 3E,2004,299,10702.0,,,,,,,,,,,,-87.673498,42.011949,91.0,Walker's Paradise,169900
8102010000000,1515 E CENTRAL RD ARLINGTON HEIGHTS,2018,299,805110.0,,,,,,,1.0,,,1458519.0,10.0,-87.96490851,42.06395108,42.0,Car-Dependent,153000
14282000041094,3150 N LAKE SHORE DR,2006,299,63200.0,,,,,,,,,,,,-87.639301,41.9391588,89.0,Very Walkable,333000
8293010000000,794  PAHL RD ELK GROVE VILLAGE,2018,299,770202.0,,,,,,,1.0,,,682019.0,10.0,-88.01425707,42.00710009,41.0,Car-Dependent,110000
7354000000000,631  CUMBERLAND TRL ROSELLE,2018,299,804607.0,,,,,,,1.0,,,296571.0,10.0,-88.06000878,41.99530208,50.0,Car-Dependent,93000
13294130290000,2634 N MAJOR AV,2004,203,190602.0,?,6.0,3.0,Full basement,0.0,No,1.0,0.0,1389.0,3720.0,88.0,-87.7688478,41.928609,77.0,Very Walkable,275000
24224070140000,11604 S KEDVALE,2007,234,823303.0,multilevel,6.0,3.0,Partial basement,0.0,No,1.0,1.0,1111.0,6650.0,38.0,-87.723861,41.681807299999996,57.0,Somewhat Walkable,220000
7144030000000,1034  EMERALD DR SCHAUMBURG,2018,299,804609.0,,,,,,,1.0,,,346126.0,10.0,-88.05432968,42.03852038,41.0,Car-Dependent,1
27053030080000,13930 MARILYN TERR,2009,208,824116.0,2-story,9.0,5.0,Full basement,4.0,Yes,3.0,1.0,4788.0,15980.0,4.0,-87.8912934,41.636348100000006,28.0,Car-Dependent,725000
17064210521002,936 N WINCHESTER AVE 2,2015,299,242200.0,,,,,,,,,,,,-87.676208,41.898836700000004,94.0,Walker's Paradise,505000
8144010000000,606  DEMPSTER ST MOUNT PROSPECT,2018,211,805002.0,2.0,15.0,9.0,1.0,0.0,2.0,3.0,3.0,3167.0,4540.0,43.0,-87.94874497,42.03759097,52.0,Somewhat Walkable,1
23134040261086,7432W 111TH ST UNIT802,2011,299,823806.0,,,,,,,,,,,,-87.8032489,41.690273,62.0,Somewhat Walkable,35000
14324130290000,850 W WILLOW ST,2013,208,832600.0,2-story,8.0,4.0,Full basement,2.0,Yes,2.0,2.0,3834.0,2500.0,29.0,-87.650362,41.914025,95.0,Walker's Paradise,2045000
13184060190000,4440 N NATCHEZ,2011,278,810600.0,1-story,5.0,2.0,Slab basement,0.0,Yes,1.0,0.0,1005.0,4085.0,51.0,-87.7895715,41.961411299999995,61.0,Somewhat Walkable,239000
24163010220000,5409 W 108TH PL,2008,204,822602.0,1-story,6.0,3.0,Partial basement,1.0,Yes,2.0,0.0,1963.0,6875.0,17.0,-87.7556324,41.6937523,29.0,Car-Dependent,323000
4243070000000,256  GRAEMERE ST NORTHFIELD,2018,206,801800.0,2.0,7.0,3.0,3.0,1.0,1.0,2.0,1.0,2825.0,10560.0,59.0,-87.78218381,42.09864797,32.0,Car-Dependent,331000
29324060441068,926 OLIVE RD 2C,2006,299,828402.0,,,,,,,,,,,,-87.640484,41.56125,53.0,Somewhat Walkable,92000
31122030130000,1224 BRAEBURN RD,2004,204,829800.0,?,10.0,4.0,Partial basement,2.0,Yes,3.0,1.0,4410.0,52577.0,62.0,-87.6784925,41.5400362,44.0,Car-Dependent,585000
9174060000000,471  LAUREL AVE DES PLAINES,2018,299,806201.0,,,,,,,1.0,,,12063.0,10.0,-87.89153437,42.04435041,80.0,Very Walkable,110000
14314210190000,1714 W WABANSIA AVE,2012,207,240200.0,2-story,7.0,3.0,Full basement,0.0,No,2.0,0.0,1668.0,1952.0,19.0,-87.670865,41.91258320000001,89.0,Very Walkable,510000
31011010210000,2921 W 183RD ST,2006,203,829800.0,1-story,6.0,3.0,Full basement,0.0,No,1.0,0.0,1406.0,14650.0,50.0,-87.6878125,41.55684,64.0,Somewhat Walkable,173000
12014010391003,5975 N ODELL 1D,2007,299,100300.0,,,,,,,,,,,,-87.80964240000002,41.989641600000006,39.0,Car-Dependent,151500
17103160331462,222 N COLUMBUS DR,2014,299,320100.0,,,,,,,,,,,,-87.6212001,41.8865411,99.0,Walker's Paradise,305000
27132040301009,15229 S CATALINA,2010,299,824506.0,,,,,,,,,,,,-87.8011926,41.614253600000005,26.0,Car-Dependent,130000
18054090090000,235 S GILBERT AVE,2010,203,819700.0,1-story,6.0,3.0,Full basement,1.0,No,1.0,0.0,1197.0,7800.0,50.0,-87.88866740000002,41.808932399999996,58.0,Somewhat Walkable,205000
10233200000000,8244  CENTRAL PARK AVE SKOKIE,2018,203,807600.0,1.0,5.0,3.0,1.0,0.0,1.0,1.0,0.0,1025.0,5535.0,58.0,-87.71872837,42.03126028,74.0,Very Walkable,240000
16064060260000,817 N RIDGELAND AV,2003,205,812400.0,2-story,6.0,3.0,Full basement,0.0,Yes,1.0,0.0,1365.0,5699.0,92.0,-87.78538329999999,41.900556,60.0,Somewhat Walkable,350000
7352000000000,830  THORNTON CT SCHAUMBURG,2018,299,804606.0,,,,,,,1.0,,,751202.0,10.0,-88.05705052,42.00527219,47.0,Car-Dependent,1
24153150270000,10642 S SACRAMENTO,2014,203,822801.0,1-story,6.0,3.0,Partial basement,0.0,No,1.0,1.0,1324.0,7503.0,39.0,-87.6967647,41.699477,44.0,Car-Dependent,210000
18174030480000,9649 W 55TH ST,2009,203,820104.0,1-story,6.0,3.0,Slab basement,0.0,No,2.0,0.0,1370.0,30000.0,49.0,-87.86057659999999,41.789989299999995,50.0,Somewhat Walkable,400000
4122150000000,705  APPLE TREE LN GLENCOE,2018,234,800200.0,4.0,8.0,5.0,3.0,1.0,1.0,2.0,1.0,2359.0,11000.0,57.0,-87.77578113,42.13578374,22.0,Car-Dependent,715000
13011220361004,6040 N TROY APT 104,2003,299,20702.0,,,,,,,,,,,,-87.708249,41.99142,80.0,Very Walkable,117000
14313270751003,1626 N OAKLEY AVE 3,2015,299,240500.0,,,,,,,,,,,,-87.6851078,41.9111524,92.0,Walker's Paradise,495000
30311070670000,17834 SCHOOL ST,2006,203,828201.0,?,5.0,3.0,Full basement,0.0,No,1.0,0.0,1095.0,5236.0,62.0,-87.54944,41.570921999999996,48.0,Car-Dependent,139900
17093370921095,8349 W 138TH PL,2013,299,280100.0,,,,,,,,,,,,-87.82498249999999,41.6384465,23.0,Car-Dependent,290100
7171110000000,930  SWEETFLOWER DR HOFFMAN ESTATES,2018,295,804716.0,2.0,7.0,3.0,1.0,1.0,1.0,2.0,1.0,2165.0,2097.0,26.0,-88.12136448,42.04371974,25.0,Car-Dependent,268000
16161030160000,5523 W MONROE,2005,211,252102.0,2-story,11.0,5.0,Full basement,0.0,No,2.0,0.0,2318.0,3100.0,93.0,-87.762697,41.8790384,81.0,Very Walkable,200000
24044040220000,4821 W 91ST ST,2010,234,822101.0,multilevel,6.0,3.0,Partial basement,0.0,Yes,1.0,1.0,1406.0,6875.0,45.0,-87.742339,41.727078999999996,73.0,Very Walkable,185000
4054070000000,715  ALICE DR NORTHBROOK,2018,203,801601.0,1.0,7.0,3.0,4.0,1.0,2.0,1.0,0.0,1200.0,21800.0,65.0,-87.84970939,42.13969987,66.0,Somewhat Walkable,360000
9231060000000,8536 W CAROL ST NILES,2018,234,805902.0,4.0,6.0,3.0,3.0,0.0,1.0,1.0,1.0,1396.0,12011.0,59.0,-87.83996253,42.03921525,74.0,Very Walkable,200000
20232120791002,1416 TECHNY RD.,2011,299,834400.0,,,,,,,,,,,,-87.8136324,42.1165039,12.0,Car-Dependent,250000
18023120201011,333 N LAGRANGE RD STE1,2005,299,819200.0,,,,,,,,,,,,-87.8697069,41.8212657,82.0,Very Walkable,118000
17103180761143,225 N COLUMBUS DR 702,2014,299,320100.0,,,,,,,,,,,,-87.6198899,41.8865691,92.0,Walker's Paradise,1025000
28223070560000,16440 S HAROLD ST,2004,203,825200.0,1-story,5.0,3.0,crawlspace,0.0,No,1.0,0.0,1002.0,5564.0,39.0,-87.728228,41.5934335,14.0,Car-Dependent,147000
13292000280000,3132 N MASON AVE,2004,211,190402.0,2-story,6.0,4.0,Slab basement,0.0,No,2.0,0.0,2252.0,3720.0,80.0,-87.7753244,41.9376041,76.0,Very Walkable,405000
14283120650000,2317 N CLEVELAND,2011,211,70200.0,2-story,12.0,6.0,Full basement,1.0,No,2.0,0.0,2352.0,4725.0,125.0,-87.6411583,41.9243005,95.0,Walker's Paradise,720000
6272100000000,29  EVERGREEN DR STREAMWOOD,2018,234,804506.0,4.0,5.0,3.0,1.0,0.0,2.0,2.0,0.0,1232.0,5700.0,28.0,-88.19289543,42.01518873,32.0,Car-Dependent,234000
31264150160000,352 WAVERLY ST,2007,203,830202.0,1-story,6.0,4.0,Slab basement,0.0,No,1.0,1.0,1553.0,9831.0,53.0,-87.6983625,41.484541,47.0,Car-Dependent,140000
7293090000000,1104  MERCURY DR SCHAUMBURG,2018,299,804807.0,,,,,,,1.0,,,446574.0,10.0,-88.12464212,42.00501859,63.0,Somewhat Walkable,129250
16181080140000,538 S GROVE,2013,205,812900.0,2-story,7.0,3.0,Full basement,0.0,Yes,1.0,0.0,1220.0,3875.0,92.0,-87.7951423,41.8782208,83.0,Very Walkable,427700
17102230331477,512 N MCCLURG 4603,2013,299,81403.0,,,,,,,,,,,,-87.6178142,41.8915234,95.0,Walker's Paradise,220000
1242070000000,1940  DRIFTWOOD CT HOFFMAN ESTATES,2018,207,804202.0,2.0,6.0,3.0,2.0,0.0,1.0,1.0,1.0,1739.0,8500.0,36.0,-88.12787868,42.10650186,10.0,Car-Dependent,305000
16034080370000,4306 CORTEZ ST,2004,211,842100.0,2-story,5.0,3.0,Slab basement,0.0,No,2.0,0.0,1738.0,4199.0,107.0,-87.73399870000001,41.89996370000001,69.0,Somewhat Walkable,190000
14194210090000,1825 W HENDERSON ST,2013,278,51200.0,1-story,9.0,4.0,Full basement,0.0,No,2.0,0.0,1863.0,3000.0,105.0,-87.67503559999999,41.9421297,93.0,Walker's Paradise,1212190
24171260260000,9099 FOREST DR,2003,212,823001.0,2-story,18.0,9.0,Full basement,0.0,No,4.0,1.0,3920.0,8025.0,38.0,-87.8461873,41.7337489,26.0,Car-Dependent,366000
12323100000000,6  BELL DR NORTHLAKE,2018,203,811800.0,5.0,6.0,3.0,4.0,0.0,1.0,1.0,0.0,1153.0,7500.0,75.0,-87.90247112,41.91084946,63.0,Somewhat Walkable,85000
24014100320000,2745 W 94TH ST,2008,204,821800.0,1-story,6.0,3.0,Full basement,1.0,No,2.0,1.0,1881.0,5740.0,50.0,-87.6912203,41.7223505,77.0,Very Walkable,250000
6212110000000,18  TRAIL RIDGE CT STREAMWOOD,2018,278,804310.0,2.0,8.0,4.0,1.0,1.0,1.0,2.0,1.0,2546.0,9604.0,15.0,-88.20326490000001,42.03072286,21.0,Car-Dependent,315000
16051170220000,1045 HAYES AVE,2015,204,812100.0,?,6.0,3.0,Full basement,0.0,No,2.0,0.0,1872.0,4125.0,91.0,-87.779427,41.9055182,73.0,Very Walkable,430000
5283070000000,2134  ELMWOOD AVE WILMETTE,2018,205,800700.0,2.0,8.0,4.0,2.0,0.0,1.0,1.0,1.0,1875.0,6600.0,65.0,-87.72915349,42.08258282,35.0,Car-Dependent,582250
4343040000000,921  ROLLING PASS GLENVIEW,2018,278,802002.0,2.0,9.0,4.0,1.0,1.0,1.0,3.0,1.0,3135.0,8573.0,1.0,-87.82884891,42.07197259,26.0,Car-Dependent,857000
2121000000000,1451  WINSLOWE DR PALATINE,2018,299,803605.0,,,,,,,1.0,,,555024.0,10.0,-88.02055431,42.13442657,64.0,Somewhat Walkable,63900
7351110000000,619  ONEIDA DR ROSELLE,2018,203,804803.0,1.0,6.0,3.0,1.0,0.0,2.0,1.0,1.0,1304.0,20454.0,54.0,-88.06439484,42.00133627,37.0,Car-Dependent,170000
9284030000000,2239 S SCOTT ST DES PLAINES,2018,202,806502.0,1.0,5.0,3.0,1.0,0.0,2.0,1.0,0.0,925.0,5445.0,64.0,-87.87433723,42.012864799999996,47.0,Car-Dependent,154500
